lambda,policy,n_requests,pool_wait_mean,decode_admit_wait_mean,decode_admit_wait_p95,decode_admit_wait_p99,e2e_latency_mean,e2e_latency_p95,e2e_latency_p99
500,dynamic_4558,25000,0.0,0.0,0.0,0.0,0.2720796658932992,0.7450235961153421,1.2796540105867484
500,hard_cap_320,25000,0.0,0.0,0.0,0.0,0.2720796658932992,0.7450235961153421,1.2796540105867484
2000,dynamic_4558,25000,0.0,0.0,0.0,0.0,0.2830529321633081,0.7492791481201451,1.218330132194253
2000,hard_cap_320,25000,0.0,0.0,0.0,0.0,0.2830529321633081,0.7492791481201451,1.218330132194253
3500,dynamic_4558,25000,0.0,0.0,0.0,0.0,0.29159841214943166,0.7272401967627904,1.0947908801369295
3500,hard_cap_320,25000,0.0,0.0,0.0,0.0,0.29159841214943166,0.7272401967627904,1.0947908801369295
4500,dynamic_4558,25000,0.0,0.0,0.0,0.0,0.4404304435857855,0.8380064939623882,1.143665839965248
4500,hard_cap_320,25000,0.0,0.0,0.0,0.0,0.4404304435857855,0.8380064939623882,1.143665839965248
6000,dynamic_4558,25000,0.0,0.0,0.0,0.0,0.6307038031472945,1.0058371839306368,1.2470333195917127
6000,hard_cap_320,25000,0.0,0.0,0.0,0.0,0.6307038031472945,1.0058371839306368,1.2470333195917127
8000,dynamic_4558,25000,0.0,0.0,0.0,0.0,0.763118978933771,1.1444963332286586,1.3475073050870303
8000,hard_cap_320,25000,0.0,0.0,0.0,0.0,0.763118978933771,1.1444963332286586,1.3475073050870303
10000,dynamic_4558,25000,0.0,0.0,0.0,0.0,0.8416456954746672,1.2382090382142785,1.408023470617749
10000,hard_cap_320,25000,0.0,0.0,0.0,0.0,0.8416456954746672,1.2382090382142785,1.408023470617749
