lambda,pool_label,decode_cap_label,n_requests,frac_pool_blocked,prefill_wait_mean,prefill_wait_p95,prefill_wait_p99,pool_wait_mean,pool_wait_p95,pool_wait_p99,decode_admit_wait_mean,decode_admit_wait_p95,decode_admit_wait_p99,e2e_latency_mean,e2e_latency_p50,e2e_latency_p95,e2e_latency_p99,mean_occupancy,max_occupancy,frac_time_above_crossover
500,1GB,hard_cap_320,78538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27143290514269675,0.19422632840930198,0.7333361556774238,1.292761217204564,16.5224650080497,36,0.0
500,1round_38.92GB,dynamic_4558,100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27095738007149756,0.19395372514171427,0.7320999157594816,1.29469437419866,26.364116708480132,36,0.0
500,1round_38.92GB,hard_cap_320,100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27095738007149756,0.19395372514171427,0.7320999157594816,1.29469437419866,26.364116708480132,36,0.0
500,2GB,hard_cap_320,100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27095738007149756,0.19395372514171427,0.7320999157594816,1.29469437419866,26.364116708480132,36,0.0
2000,1GB,hard_cap_320,79414,0.0,2.018431784740432e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30315853990034286,0.2174991873160943,0.8227596116539565,1.4382959157545558,71.40345027591204,134,0.0
2000,1round_38.92GB,dynamic_4558,100000,0.0,2.649089750800104e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29980857323531995,0.21588004982758413,0.8123983165786586,1.4126567332134972,117.14020729112585,134,0.0
2000,1round_38.92GB,hard_cap_320,100000,0.0,2.649089750800104e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29980857323531995,0.21588004982758413,0.8123983165786586,1.4126567332134972,117.14020729112585,134,0.0
2000,2GB,hard_cap_320,100000,0.0,2.649089750800104e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29980857323531995,0.21588004982758413,0.8123983165786586,1.4126567332134972,117.14020729112585,134,0.0
3500,1GB,hard_cap_320,80246,0.0,0.00011533166704763201,0.0006453344895399615,0.0011802561518084018,0.0,0.0,0.0,0.0,0.0,0.0,0.34283645721923833,0.25057641220027027,0.9132824243248492,1.5581738779945182,137.74607315400178,256,0.0
3500,1round_38.92GB,dynamic_4558,100000,0.0,0.00011165171711110129,0.0006307403505369402,0.0011620068527382688,0.0,0.0,0.0,0.0,0.0,0.0,0.33651580946734627,0.24688152189846058,0.8958397514420551,1.515110123426939,228.394354201836,256,0.0
3500,1round_38.92GB,hard_cap_320,100000,0.0,0.00011165171711110129,0.0006307403505369402,0.0011620068527382688,0.0,0.0,0.0,0.0,0.0,0.0,0.33651580946734627,0.24688152189846058,0.8958397514420551,1.515110123426939,228.394354201836,256,0.0
3500,2GB,hard_cap_320,100000,0.0,0.00011165171711110129,0.0006307403505369402,0.0011620068527382688,0.0,0.0,0.0,0.0,0.0,0.0,0.33651580946734627,0.24688152189846058,0.8958397514420551,1.515110123426939,228.394354201836,256,0.0
4500,1GB,hard_cap_320,80613,0.013360128019053999,0.1458918183718085,0.36327643416798217,0.42509866148955816,7.540244813207606e-05,0.0,0.002383705735448771,0.00011586838900671637,0.0,0.005364747085690279,0.7080489401485481,0.6476184730573014,1.2940611261033044,1.913377648401994,167.91289297438476,320,0.1714278140348208
4500,1round_38.92GB,dynamic_4558,100000,0.0,0.16589966713243545,0.3614935076611117,0.41856952527714214,0.0,0.0,0.0,0.0,0.0,0.0,0.7238335678460676,0.667103665401944,1.2966082116588251,1.8753130684983756,278.8350787878966,343,0.29700345753277396
4500,1round_38.92GB,hard_cap_320,100000,0.0,0.16590076559393213,0.3614495095857044,0.41856952527714214,0.0,0.0,0.0,0.0002570836251613649,0.0,0.010186312113964258,0.7238431311406841,0.6672896111907358,1.2956479680749031,1.8743404840442928,278.55692120327495,320,0.2976341206958761
