lambda,pool_label,pool_bytes,n_requests,frac_pool_blocked,pool_wait_mean,pool_wait_p99,pool_wait_max,decode_admit_wait_mean,e2e_latency_mean
4500,500MB,500000000.0,5304,0.0,0.0,0.0,0.0,0.0,0.367693285004946
4500,1GB,1000000000.0,9000,0.0,0.0,0.0,0.0,0.0,0.34951323940769136
4500,2GB,2000000000.0,9000,0.0,0.0,0.0,0.0,0.0,0.34951323940769136
4500,4GB,4000000000.0,9000,0.0,0.0,0.0,0.0,0.0,0.34951323940769136
4500,9.73GB,9730000000.0,9000,0.0,0.0,0.0,0.0,0.0,0.34951323940769136
6000,500MB,500000000.0,5145,0.0,0.0,0.0,0.0,0.0,0.4916584790696992
6000,1GB,1000000000.0,9000,0.0,0.0,0.0,0.0,0.0,0.490215784514109
6000,2GB,2000000000.0,9000,0.0,0.0,0.0,0.0,0.0,0.490215784514109
6000,4GB,4000000000.0,9000,0.0,0.0,0.0,0.0,0.0,0.490215784514109
6000,9.73GB,9730000000.0,9000,0.0,0.0,0.0,0.0,0.0,0.490215784514109
8000,500MB,500000000.0,5302,0.0,0.0,0.0,0.0,0.0,0.5786698890418716
8000,1GB,1000000000.0,9000,0.0,0.0,0.0,0.0,0.0,0.5806751529452194
8000,2GB,2000000000.0,9000,0.0,0.0,0.0,0.0,0.0,0.5806751529452194
8000,4GB,4000000000.0,9000,0.0,0.0,0.0,0.0,0.0,0.5806751529452194
8000,9.73GB,9730000000.0,9000,0.0,0.0,0.0,0.0,0.0,0.5806751529452194
10000,500MB,500000000.0,5629,0.0,0.0,0.0,0.0,0.0,0.6068633482268818
10000,1GB,1000000000.0,9000,0.0,0.0,0.0,0.0,0.0,0.6327110553973211
10000,2GB,2000000000.0,9000,0.0,0.0,0.0,0.0,0.0,0.6327110553973211
10000,4GB,4000000000.0,9000,0.0,0.0,0.0,0.0,0.0,0.6327110553973211
10000,9.73GB,9730000000.0,9000,0.0,0.0,0.0,0.0,0.0,0.6327110553973211
